Date,Step count
1/31/2017,15186
2/1/2017,19869
2/2/2017,15207
2/3/2017,20977
2/4/2017,39966
2/5/2017,21210
2/6/2017,15364
2/7/2017,21005
2/8/2017,15193
2/9/2017,19964
2/10/2017,25412
2/11/2017,59716
2/12/2017,15223
2/13/2017,15040
2/14/2017,20015
2/15/2017,14581
2/16/2017,15961
2/17/2017,15512
2/18/2017,41367
2/19/2017,15269
2/20/2017,15194
2/21/2017,20161
2/22/2017,18223
2/23/2017,16885
2/24/2017,32217
2/25/2017,20115
2/26/2017,15165
2/27/2017,14957
2/28/2017,15316
3/1/2017,20496
3/2/2017,15734
3/3/2017,28069
3/4/2017,15386
3/5/2017,15090
3/6/2017,15153
3/7/2017,14843
3/8/2017,15199
3/9/2017,15060
3/10/2017,14888
3/11/2017,15329
3/12/2017,18455
3/13/2017,17333
3/14/2017,15140
3/15/2017,15735
3/16/2017,15151
3/17/2017,30017
3/18/2017,15419
3/19/2017,15144
3/20/2017,15837
3/21/2017,20917
3/22/2017,15433
3/23/2017,17609
3/24/2017,12374
3/25/2017,18488
3/26/2017,15292
3/27/2017,16117
3/28/2017,15858
3/29/2017,15397
3/30/2017,15155
3/31/2017,16762
4/1/2017,16352
4/2/2017,24954
4/3/2017,14917
4/4/2017,15177
4/5/2017,15059
4/6/2017,15132
4/7/2017,21395
4/8/2017,36864
4/9/2017,14783
4/10/2017,15195
4/11/2017,15238
4/12/2017,15127
4/13/2017,15851
4/14/2017,19724
4/15/2017,23783
4/16/2017,14735
4/17/2017,15493
4/18/2017,16162
4/19/2017,15856
4/20/2017,15970
4/21/2017,15737
4/22/2017,15595
4/23/2017,20727
4/24/2017,25368
4/25/2017,20203
4/26/2017,21948
4/27/2017,20205
4/28/2017,29441
4/29/2017,21058
4/30/2017,20686
5/1/2017,20435
5/2/2017,21885
5/3/2017,20512
5/4/2017,21213
5/5/2017,23366
5/6/2017,28316
5/7/2017,40186
5/8/2017,20246
5/9/2017,25130
5/10/2017,25216
5/11/2017,25294
5/12/2017,34111
5/13/2017,35515
5/14/2017,30378
5/15/2017,25139
5/16/2017,30506
5/17/2017,30640
5/18/2017,30391
5/19/2017,40293
5/20/2017,30592
5/21/2017,29994
5/22/2017,27991
5/23/2017,21280
5/24/2017,32387
5/25/2017,15431
5/26/2017,22998
5/27/2017,20861
5/28/2017,30784
5/29/2017,22713
5/30/2017,26145
5/31/2017,30433
6/1/2017,30278
6/2/2017,24191
6/3/2017,30368
6/4/2017,25437
6/5/2017,30178
6/6/2017,15334
6/7/2017,22068
6/8/2017,21061
6/9/2017,22197
6/10/2017,21398
6/11/2017,30754
6/12/2017,31072
6/13/2017,30253
6/14/2017,22535
6/15/2017,15819
6/16/2017,30170
6/17/2017,18484
6/18/2017,15480
6/19/2017,31286
6/20/2017,30522
6/21/2017,16271
6/22/2017,30862
6/23/2017,30479
6/24/2017,65061
6/25/2017,31026
6/26/2017,30144
6/27/2017,20630
6/28/2017,30970
6/29/2017,30555
6/30/2017,20664
7/1/2017,20946
7/2/2017,29541
7/3/2017,18092
7/4/2017,30176
7/5/2017,20530
7/6/2017,24019
7/7/2017,20275
7/8/2017,23992
7/9/2017,15247
7/10/2017,22574
7/11/2017,26239
7/12/2017,30749
7/13/2017,15233
7/14/2017,22371
7/15/2017,30562
7/16/2017,30566
7/17/2017,21047
7/18/2017,15549
7/19/2017,16638
7/20/2017,42939
7/21/2017,21108
7/22/2017,22149
7/23/2017,20761
7/24/2017,21936
7/25/2017,31047
7/26/2017,24095
7/27/2017,23175
7/28/2017,33316
7/29/2017,26112
7/30/2017,32789
7/31/2017,22195
8/1/2017,22780
8/2/2017,35172
8/3/2017,20896
8/4/2017,24736
8/5/2017,21550
8/6/2017,33021
8/7/2017,21279
8/8/2017,31761
8/9/2017,21171
8/10/2017,35870
8/11/2017,20743
8/12/2017,20920
8/13/2017,21534
8/14/2017,21005
