Date,Steps
2016-10-19,12194
2016-10-20,10254
2016-10-21,12877
2016-10-22,17091
2016-10-23,7223
2016-10-24,24349
2016-10-25,3889
2016-10-26,20468
2016-10-27,13966
2016-10-28,16704
2016-10-29,11635
2016-10-30,21755
2016-10-31,5825
2016-11-01,14347
2016-11-02,6412
2016-11-03,8806
2016-11-04,15840
2016-11-05,16109
2016-11-06,11350
2016-11-07,12699
2016-11-08,9513
2016-11-09,10312
2016-11-10,12263
2016-11-11,12359
2016-11-12,7597
2016-11-13,2220
2016-11-14,11467
2016-11-15,8412
2016-11-16,9490
2016-11-17,7117
2016-11-18,522
2016-11-19,12928
2016-11-20,10009
2016-11-21,11161
2016-11-22,9249
2016-11-23,7539
2016-11-24,2017
2016-11-25,20148
2016-11-26,25579
2016-11-27,7866
2016-11-28,11345
2016-11-29,10412
2016-11-30,13783
2016-12-01,6298
2016-12-02,9853
2016-12-03,5094
2016-12-04,11560
2016-12-05,9179
2016-12-06,10420
2016-12-07,9359
2016-12-08,8831
2016-12-09,21209
2016-12-10,10435
2016-12-11,14014
2016-12-12,9674
2016-12-13,10089
2016-12-14,12667
2016-12-15,9175
2016-12-16,10035
2016-12-17,15767
2016-12-18,1587
2016-12-19,7526
2016-12-20,10879
2016-12-21,12822
2016-12-22,12600
2016-12-23,14661
2016-12-24,13434
2016-12-25,7051
2016-12-26,10729
2016-12-27,10397
2016-12-28,11086
2016-12-29,11987
2016-12-30,9389
2016-12-31,9894
2017-01-01,21956
2017-01-02,15402
2017-01-03,10855
2017-01-04,10516
2017-01-05,10693
2017-01-06,16179
2017-01-07,9153
2017-01-08,10566
2017-01-09,9191
2017-01-10,10656
2017-01-11,10862
2017-01-12,10761
2017-01-13,9865
2017-01-14,11246
2017-01-15,10685
2017-01-16,15217
2017-01-17,20052
2017-01-18,15334
2017-01-19,15327
2017-01-20,15017
2017-01-21,20662
2017-01-22,15384
2017-01-23,15947
2017-01-24,16325
2017-01-25,12197
2017-01-26,17292
2017-01-27,18150
2017-01-28,16300
2017-01-29,20132
2017-01-30,18768
2017-01-31,15186
2017-02-01,19869
2017-02-02,15207
2017-02-03,20977
2017-02-04,39966
2017-02-05,21210
2017-02-06,15364
2017-02-07,21005
2017-02-08,15193
2017-02-09,19964
2017-02-10,25412
2017-02-11,59716
2017-02-12,15223
2017-02-13,15040
2017-02-14,20015
2017-02-15,14581
2017-02-16,15961
2017-02-17,15512
2017-02-18,41367
2017-02-19,15269
2017-02-20,15194
2017-02-21,20161
2017-02-22,18223
2017-02-23,16885
2017-02-24,32217
2017-02-25,20115
2017-02-26,15165
2017-02-27,14957
2017-02-28,15316
2017-03-01,20496
2017-03-02,15734
2017-03-03,28069
2017-03-04,15386
2017-03-05,15090
2017-03-06,15153
2017-03-07,14843
2017-03-08,15199
2017-03-09,15060
2017-03-10,14888
2017-03-11,15329
2017-03-12,18455
2017-03-13,17333
2017-03-14,15140
2017-03-15,15735
2017-03-16,15151
2017-03-17,30017
2017-03-18,15419
2017-03-19,15144
2017-03-20,15837
2017-03-21,20917
2017-03-22,15433
2017-03-23,17609
2017-03-24,12374
2017-03-25,18488
2017-03-26,15292
2017-03-27,16117
2017-03-28,15858
2017-03-29,15397
2017-03-30,15155
2017-03-31,16762
2017-04-01,16352
2017-04-02,24954
2017-04-03,14917
2017-04-04,15177
2017-04-05,15059
2017-04-06,15132
2017-04-07,21395
2017-04-08,36864
2017-04-09,14783
2017-04-10,15195
2017-04-11,15238
2017-04-12,15127
2017-04-13,15851
2017-04-14,19724
2017-04-15,23783
2017-04-16,14735
2017-04-17,15493
2017-04-18,16162
2017-04-19,15856
2017-04-20,15970
2017-04-21,15737
2017-04-22,15595
2017-04-23,20727
2017-04-24,25368
2017-04-25,20203
2017-04-26,21948
2017-04-27,20205
2017-04-28,29441
2017-04-29,21058
2017-04-30,20686
2017-05-01,20435
2017-05-02,21885
2017-05-03,20512
2017-05-04,21213
2017-05-05,23366
2017-05-06,28316
2017-05-07,40186
2017-05-08,20246
2017-05-09,25130
2017-05-10,25216
2017-05-11,25294
2017-05-12,34111
2017-05-13,35515
2017-05-14,30378
2017-05-15,25139
2017-05-16,30506
2017-05-17,30640
2017-05-18,30391
2017-05-19,40293
2017-05-20,30592
2017-05-21,29994
2017-05-22,27991
2017-05-23,21280
2017-05-24,32387
2017-05-25,15431
2017-05-26,22998
2017-05-27,20861
2017-05-28,30784
2017-05-29,22713
2017-05-30,26145
2017-05-31,30433
2017-06-01,30278
2017-06-02,24191
2017-06-03,30368
2017-06-04,25437
2017-06-05,30178
2017-06-06,15334
2017-06-07,22068
2017-06-08,21061
2017-06-09,22197
2017-06-10,21398
2017-06-11,30754
2017-06-12,31072
2017-06-13,30253
2017-06-14,22535
2017-06-15,15819
2017-06-16,30170
2017-06-17,18484
2017-06-18,15480
2017-06-19,31286
2017-06-20,30522
2017-06-21,16271
2017-06-22,30862
2017-06-23,30479
2017-06-24,65061
2017-06-25,31026
2017-06-26,30144
2017-06-27,20630
2017-06-28,30970
2017-06-29,30555
2017-06-30,20664
2017-07-01,20946
2017-07-02,29541
2017-07-03,18092
2017-07-04,30176
2017-07-05,20530
2017-07-06,24019
2017-07-07,20275
2017-07-08,23992
2017-07-09,15247
2017-07-10,22574
2017-07-11,26239
2017-07-12,30749
2017-07-13,15233
2017-07-14,22371
2017-07-15,30562
2017-07-16,30566
2017-07-17,21047
2017-07-18,15549
2017-07-19,16638
2017-07-20,42939
2017-07-21,21108
2017-07-22,22149
2017-07-23,20761
2017-07-24,21936
2017-07-25,31047
2017-07-26,24095
2017-07-27,23175
2017-07-28,33316
2017-07-29,26112
2017-07-30,32789
2017-07-31,22195
2017-08-01,22780
2017-08-02,35172
